,Site,Treatment,ID,Species,Year.Harvested,TOTAL.BIOMASS..kg.,Initial.Biomass..g.,Initial.Biomass..kg.,X,rrg,logrrg
70,Tiendega,4,3,Detarium microcarpum,2011,,15946.16279,15.94616279,NA,,
71,Tiendega,4,5,Detarium microcarpum,2011,0.372075702,15084.8552,15.0848552,NA,0.0246655137,-3.702349219
72,Tiendega,4,8,Detarium microcarpum,2011,0.476457816,25141.81238,25.14181238,NA,0.0189508142,-3.9659083807
73,Tiendega,4,9,Detarium microcarpum,2011,0.786379281,15946.16279,15.94616279,NA,0.0493146402,-3.00953428
74,Tiendega,4,10,Detarium microcarpum,2011,0.524518765,21778.01276,21.77801276,NA,0.0240847855,-3.7261749467
75,Tiendega,4,12,Detarium microcarpum,2011,0.137064385,3584.971678,3.584971678,NA,0.0382330454,-3.2640550739
76,Tiendega,4,13,Detarium microcarpum,2011,0.74672563,13849.66861,13.84966861,NA,0.053916498,-2.9203187624
77,Tiendega,4,14,Detarium microcarpum,2011,0.226902316,8062.05334,8.06205334,NA,0.0281444821,-3.570403961
78,Tiendega,4,16,Detarium microcarpum,2011,1.186200435,25141.81238,25.14181238,NA,0.0471803869,-3.0537770049
79,Tiendega,4,20,Detarium microcarpum,2011,0.256105831,11577.75887,11.57775887,NA,0.0221205014,-3.8112504365
110,Lakamane,4,2,Combretum glutinosum,2011,0.393492829,3584.971678,3.584971678,NA,0.1097617678,-2.2094430088
111,Lakamane,4,4,Combretum glutinosum,2011,1.668716885,15717.42804,15.71742804,NA,0.1061698441,-2.2427151642
112,Lakamane,4,7,Combretum glutinosum,2011,0.301963868,3101.449616,3.101449616,NA,0.097362171,-2.3293175314
113,Lakamane,4,8,Combretum glutinosum,2011,3.909337496,NA,NA,NA,NA,NA
114,Lakamane,4,10,Combretum glutinosum,2011,1.019712708,12222.35288,12.22235288,NA,0.0834301479,-2.4837455498
115,Lakamane,4,12,Combretum glutinosum,2011,0.932773202,26332.5095,26.3325095,NA,0.0354228754,-3.3403974709
116,Lakamane,4,13,Combretum glutinosum,2011,0.300353045,12225.24999,12.22524999,NA,0.0245682538,-3.7063001638
117,Lakamane,4,16,Combretum glutinosum,2011,2.7730652,37931.40762,37.93140762,NA,0.0731073634,-2.6158261872
183,Tiendega,4,1,Detarium microcarpum,2013,2.125,1796.340785,NA,NA,0.3943201308,-0.9305921848
184,Tiendega,4,2,Detarium microcarpum,2013,2.475,25732.75481,NA,NA,0.0320603063,-3.4401365793
185,Tiendega,4,4,Detarium microcarpum,2013,8.55,30782.30688,NA,NA,0.0925856535,-2.3796210787
186,Tiendega,4,6,Detarium microcarpum,2013,6.125,18235.36628,NA,NA,0.1119619225,-2.1895964429
187,Tiendega,4,7,Detarium microcarpum,2013,0.825,4426.125892,NA,NA,0.0621310841,-2.7785088663
188,Tiendega,4,11,Detarium microcarpum,2013,0.975,41870.81322,NA,NA,0.0077619701,-4.858519099
189,Tiendega,4,15,Detarium microcarpum,2013,0.625,50513.73145,NA,NA,0.0041242911,-5.4908611271
190,Tiendega,4,17,Detarium microcarpum,2013,0.88,6231.284786,NA,NA,0.0470742942,-3.0560281974
191,Tiendega,4,18,Detarium microcarpum,2013,0.07876,25141.81238,NA,NA,0.0010442101,-6.8644946059
192,Tiendega,4,19,Detarium microcarpum,2013,0.10516,16388.34988,NA,NA,0.0021389178,-6.147455277
222,Lakamane,4,1,Combretum glutinosum,2013,1.27028,13063.36404,NA,NA,0.0324132946,-3.4291866142
223,Lakamane,4,3,Combretum glutinosum,2013,0.50424,16195.72034,NA,NA,0.0103780503,-4.5680622532
224,Lakamane,4,5,Combretum glutinosum,2013,1.7072,19814.29109,NA,NA,0.0287200114,-3.5501611367
225,Lakamane,4,6,Combretum glutinosum,2013,1.584,37931.40762,NA,NA,0.0139198631,-4.2744384613
226,Lakamane,4,9,Combretum glutinosum,2013,5.72,113284.6753,NA,NA,0.0168307555,-4.0845473844
227,Lakamane,4,11,Combretum glutinosum,2013,0.07964,8574.587529,NA,NA,0.0030959701,-5.7776539788
228,Lakamane,4,14,Combretum glutinosum,2013,1.144,12616.00932,NA,NA,0.0302261455,-3.4990479841
229,Lakamane,4,15,Combretum glutinosum,2013,0.13244,23933.08972,NA,NA,0.001844587,-6.2954998635
